Province/State,Country/Region,lat,lon,iso2,state_name,state_id,population,population_proper,fatur,compras,funcion,clientes,chamados,status,modelo
Quellón,Chile,-43.118190,-73.616608,CL,Los Lagos,LL,7029,7029,52525,5253,6,400,5,A,smart
Quirihue,Chile,-36.281032,-72.541638,CL,Biobío,BI,6529,6529,0,0,0,0,0,I,smart
Combarbalá,Chile,-31.178627,-71.003043,CL,Coquimbo,CO,5134,5134,0,0,0,0,0,N,premium
Nueva Toltén,Chile,-39.216667,-73.233333,CL,Araucanía,AR,2293,2293,0,0,0,0,0,I,smart
Mejillones,Chile,-23.100775,-70.445535,CL,Antofagasta,AN,2041,2041,0,0,0,0,0,I,smart
Chonchi,Chile,-42.620034,-73.776740,CL,Los Lagos,LL,381,381,20205,2021,7,467,8,A,smart
Toconao,Chile,-23.190084,-68.005285,CL,Antofagasta,AN,378,378,87878,8788,6,400,9,A,premium
Balsadero Río Verde,Chile,-52.650879,-71.462925,CL,Magallanes y de la Antártica Chilena,MA,358,358,32325,3233,5,333,8,A,express
Villa O’Higgins,Chile,-48.466686,-72.559078,CL,Aysén,AI,250,100,65656,6566,6,400,9,A,express
Cuya,Chile,-19.115219,-70.132386,CL,Arica y Parinacota,AP,20,20,0,0,0,0,0,N,express
Lagunas,Chile,-20.981602,-69.666143,CL,Tarapacá,TA,10,10,0,0,0,0,0,I,express
