Province/State,Country/Region,lat,lon,iso2,state_name,state_id,population,population_proper,fatur,compras,funcion,clientes,chamados,status,modelo
Guadalajara,Spain,40.628621,-3.161849,ES,Castille-La Mancha,GU,72850,30963,13131,1313,4,66,2,A,smart
Mérida,Spain,38.916109,-6.343657,ES,Extremadura,BA,52423,52423,0,0,0,0,0,N,smart
Castellón de la Plana,Spain,39.987497,-0.039246,ES,Valencia,V,74633,33126,22121,2212,3,54,2,A,express
Palencia,Spain,42.009552,-4.524063,ES,Castille-Leon,CL,72851,30964,22654,2265,3,52,2,A,smart
Lleida,Spain,41.616737,0.622183,ES,Catalonia,CT,59762,39339,29292,2929,5,79,2,A,express
Cáceres,Spain,39.481877,-6.373222,ES,Extremadura,EX,52945,41422,59595,5960,3,53,2,A,express
Segovia,Spain,40.948083,-4.118390,ES,Castille-Leon,CL,52424,52424,64766,6477,3,53,2,A,express
Pontevedra,Spain,42.433333,-8.633333,ES,Galicia,GA,92432,83014,0,0,0,0,0,I,smart
Santa Cruz de Tenerife,Spain,28.460238,-16.280616,ES,Canary Islands,CN,86121,26966,66665,6667,4,70,2,A,express
Soria,Spain,41.764335,-2.468251,ES,Castille-Leon,CL,74634,33127,59595,5960,3,54,2,A,express
Huesca,Spain,42.138680,-0.409411,ES,Aragon,AR,72852,30965,55959,5596,3,53,2,A,express
Donostia,Spain,43.313556,-1.981855,ES,Basque Country,PV,59763,39340,0,0,0,0,0,I,smart
Cuenca,Spain,40.066667,-2.133333,ES,Castille-La Mancha,CM,52946,41423,0,0,0,0,0,N,express
Girona,Spain,41.982548,2.822449,ES,Catalonia,CT,52425,52425,55555,5556,3,53,2,A,express
Ávila,Spain,40.657237,-4.699511,ES,Castille-Leon,CL,92433,83015,75484,7548,3,54,2,A,express
Ciudad Real,Spain,38.986258,-3.929070,ES,Castille-La Mancha,CM,86122,26967,45458,4546,3,54,2,A,express
Zamora,Spain,41.504940,-5.745296,ES,Castille-Leon,CL,74635,33128,0,0,0,0,0,N,express
Lugo,Spain,43.013813,-7.558543,ES,Galicia,GA,72853,30966,0,0,0,0,0,I,express
Teruel,Spain,40.345073,-1.104106,ES,Aragon,AR,59764,39341,88545,8855,3,52,2,A,express
